,Review,date,Location,Translated,Address,Country,room_review,hotel_review,amenities_review,price_review,washroom_review,food_review,staff_review,Sentiment
50,I liked that the staff was very nice and the place is very clean I will be going back there very soon The pool was very clean and you can go to other pools in the resort Only minutes away from Magic Kingdom,2019-08-13,,I liked that the staff was very nice and the place is very clean I will be going back there very soon The pool was very clean and you can go to other pools in the resort Only minutes away from Magic Kingdom,None,None,1,1,1,0,0,0,1,POSITIVE
51,Great price and lots to do Cleanhospitality was great Convenient to all the parks,2019-08-13,,Great price and lots to do Cleanhospitality was great Convenient to all the parks,None,None,0,0,1,0,0,0,0,POSITIVE
52,Very smooth stay Well surely coming back to this hotel Highly recommended,2019-08-13,,Very smooth stay Well surely coming back to this hotel Highly recommended,None,None,1,1,0,0,0,0,0,NEGATIVE
53,Excellent location and great servicei highly recommended New Yorker Hotel at winham,2019-08-13,,Excellent location and great servicei highly recommended New Yorker Hotel at winham,None,None,0,1,0,0,0,0,1,POSITIVE
54,comodo per la posizione ma hotel fatiscente camera e bagno troppo piccoli e la quarta stella gliel hanno regalata,2019-08-13,,convenient for the location but dilapidated hotel room and bathroom too small and the fourth star was given to him,None,None,1,1,0,0,1,0,0,NEGATIVE
55,The rooms are terribly small almost claustrophobic Ice machine was hard to find And attitude at the front desks,2019-08-13,,The rooms are terribly small almost claustrophobic Ice machine was hard to find And attitude at the front desks,None,None,1,0,0,0,0,0,0,NEGATIVE
56,They made us pay for gym facilities we didn’t use It should be an optional fee I came to see New York not to work out,2019-08-13,Australia,They made us pay for gym facilities we didn’t use It should be an optional fee I came to see New York not to work out,Australia,Australia,0,0,0,1,0,0,1,NEGATIVE
57,Does well what you expect it to Comfy bed Clean modern bathroom Reasonably well soundinsulated rooms Very good value at a great outer borough location Unexpectedly nice shops and restaurants within walking distance,2019-08-13,,Does well what you expect it to Comfy bed Clean modern bathroom Reasonably well soundinsulated rooms Very good value at a great outer borough location Unexpectedly nice shops and restaurants within walking distance,None,None,1,1,0,0,1,1,0,POSITIVE
58,I stayed here for 2 nights This place is walkable to Disneyland and very convenient It has underground gated car parking Staff was very courteous,2019-08-13,,I stayed here for 2 nights This place is walkable to Disneyland and very convenient It has underground gated car parking Staff was very courteous,None,None,1,0,1,0,0,0,0,POSITIVE
59,Friendly staff clean property secure parking easy freeway access,2019-08-13,Las Vegas,Friendly staff clean property secure parking easy freeway access,"Las Vegas, Clark County, Nevada, United States",United States,1,1,1,0,0,0,1,POSITIVE
60,Todo excelente muy buenas instalaciones y excelente servico,2019-08-12,Mexico,"All excellent, very good facilities and excellent service",México,United States,0,0,0,0,0,0,1,POSITIVE
61,I like everything in the hotel the personal very good services,2019-08-12,Miami,I like everything in the hotel the personal very good services,"Miami, Miami-Dade County, Florida, United States",United States,0,1,0,0,0,0,1,NEGATIVE
62,I liked everything except the smoking by the pools ruined outdoor relaxation Smelled very bad by the pools,2019-08-12,"San Antonio, TX",I liked everything except the smoking by the pools ruined outdoor relaxation Smelled very bad by the pools,"San Antonio, Bexar County, Texas, United States",United States,1,0,1,0,0,0,0,POSITIVE
63,I love how there are alot of pools but in terms of choices for restaurants being it the grand hotel was very limited The good quality was alright for the high prices we paid Nothing extravagant,2019-08-12,bayonne nj,I love how there are alot of pools but in terms of choices for restaurants being it the grand hotel was very limited The good quality was alright for the high prices we paid Nothing extravagant,"Bayonne, Hudson County, New Jersey, 07002, United States",United States,0,1,1,1,0,1,0,NEGATIVE
64,The pool was nice but the staff was rude and we could not get our room clean,2019-08-12,,The pool was nice but the staff was rude and we could not get our room clean,None,None,1,1,0,0,0,0,1,NEGATIVE
65,Pool was super dirtyJacuzzi water was a bit yellowish color Room was clean but carpet was super dirty Carpets needs to be deep clean So wear socks Rooms also tends to get stuffy quick Worst of all the assistant I had was horrible at service She was rude and unattentive Felt rushed and she didnt try to give us any information at all about the hotel except where our room is at They only accept strictly Debit cards and some major credit cards only with a $50100 dollars deposit depending on if you have kids or not with you If only the attendant that helped me was more friendly I wouldnt mind so much all the other flaws But in all honesty I didnt even get a smile from her and I booked 4 rooms But Im not saying all employees are like that but I can say I never gotten any kind of acknowledgement from any of the employees who works there No one greets,2019-08-12,,Pool was super dirtyJacuzzi water was a bit yellowish color Room was clean but carpet was super dirty Carpets needs to be deep clean So wear socks Rooms also tends to get stuffy quick Worst of all the assistant I had was horrible at service She was rude and unattentive Felt rushed and she didnt try to give us any information at all about the hotel except where our room is at They only accept strictly Debit cards and some major credit cards only with a $50100 dollars deposit depending on if you have kids or not with you If only the attendant that helped me was more friendly I wouldnt mind so much all the other flaws But in all honesty I didnt even get a smile from her and I booked 4 rooms But Im not saying all employees are like that but I can say I never gotten any kind of acknowledgement from any of the employees who works there No one greets,None,None,1,1,1,1,0,0,1,NEGATIVE
66,It was a good experience overall Complementary shuttle service helps a lot especially because airport is nearby,2019-08-12,,It was a good experience overall Complementary shuttle service helps a lot especially because airport is nearby,None,None,0,0,0,0,0,0,1,POSITIVE
67,Everything here is really greatthe staffthe roomsthe safety and quietness the cleanliness of the rooms and lobby I adore this hotel and hope to return soon This is really a 10 star hotel in my book,2019-08-12,,Everything here is really greatthe staffthe roomsthe safety and quietness the cleanliness of the rooms and lobby I adore this hotel and hope to return soon This is really a 10 star hotel in my book,None,None,1,1,0,0,0,1,1,POSITIVE
68,Everything was great Hello just staying in the heart of New York was fantastic,2019-08-12,,Everything was great Hello just staying in the heart of New York was fantastic,None,None,1,0,0,0,0,0,0,POSITIVE
69,cleanliness at hotel was very good in rooms and all public areas,2019-08-12,,cleanliness at hotel was very good in rooms and all public areas,None,None,1,1,0,0,0,0,0,POSITIVE
70,Lobby looks amazing Parking is not included with your booking so you have to pay to park on a place that you are actually visiting and staying the night I booked a 2 double bed room and my room had 2 full beds instead The facility was clean outdoors gardens pool were very clean but the room didnt match the rest of the hotel I was definitely expecting more I wont be staying at this hotel again You get more for less on other hotels around the area,2019-08-12,,Lobby looks amazing Parking is not included with your booking so you have to pay to park on a place that you are actually visiting and staying the night I booked a 2 double bed room and my room had 2 full beds instead The facility was clean outdoors gardens pool were very clean but the room didnt match the rest of the hotel I was definitely expecting more I wont be staying at this hotel again You get more for less on other hotels around the area,None,None,1,1,1,1,0,0,0,POSITIVE
71,Everything was great When we walked into the lobby it smelled very nice,2019-08-12,Corinth,Everything was great When we walked into the lobby it smelled very nice,"Corinth, Alcorn County, Mississippi, United States",United States,0,1,0,0,0,1,0,POSITIVE
72,There was no complementary breakfast but it was close to everything and Disney Springs was remarkable,2019-08-12,New Jersey,There was no complementary breakfast but it was close to everything and Disney Springs was remarkable,"New Jersey, United States",United States,0,0,0,0,0,1,0,POSITIVE
73,Rooms are small Rooms with king sized bedone side of bed is up against the wall and there is barely enough room to walk between the end of the bed and the desktelevision on the opposite wall Rooms with double beds offer a little more room but it is still cramped However rooms are clean with natural light from floor to ceiling windows,2019-08-12,,Rooms are small Rooms with king sized bedone side of bed is up against the wall and there is barely enough room to walk between the end of the bed and the desktelevision on the opposite wall Rooms with double beds offer a little more room but it is still cramped However rooms are clean with natural light from floor to ceiling windows,None,None,1,0,1,0,0,0,0,NEGATIVE
74,A very well managed property beating big five star hotels in every aspects including staff friendliness cleanness convenience free self parking in Anaheim close distance to convention center and Disney parks,2019-08-12,,A very well managed property beating big five star hotels in every aspects including staff friendliness cleanness convenience free self parking in Anaheim close distance to convention center and Disney parks,None,None,1,1,1,0,0,0,1,POSITIVE
75,Very courteous and the rooms were very nice The only issue was that in the business center they time the computers out at 15 minutes per session That should be more like 30 minutes,2019-08-12,,Very courteous and the rooms were very nice The only issue was that in the business center they time the computers out at 15 minutes per session That should be more like 30 minutes,None,None,1,0,0,0,0,0,0,NEGATIVE
76,Great location Two pools were nice Staff was friendly,2019-08-12,Venice,Great location Two pools were nice Staff was friendly,"Venezia, Veneto, Italia",None,0,1,1,0,0,0,1,POSITIVE
77,This place is a reasonable food dessert Breakfast and lunch are $30 each and supper is $60 I noticed several parents waiting for pizza delivery They charge for parking so people are stuck there The first night I ate beef jerky and nuts from the gift shopThere were stinky fruits all over the pool areas They just tried to blow them under the bushes STINKY I needed my safe opened and it took a long time to get them to do it Most of the room was clean except mold in the shower It rained a lot and there were NO inside activities How about yoga or Zumba in the rainy season I definitely Wont be back,2019-08-11,Chicago,This place is a reasonable food dessert Breakfast and lunch are $30 each and supper is $60 I noticed several parents waiting for pizza delivery They charge for parking so people are stuck there The first night I ate beef jerky and nuts from the gift shopThere were stinky fruits all over the pool areas They just tried to blow them under the bushes STINKY I needed my safe opened and it took a long time to get them to do it Most of the room was clean except mold in the shower It rained a lot and there were NO inside activities How about yoga or Zumba in the rainy season I definitely Wont be back,"Chicago, Cook County, Illinois, United States",United States,1,1,1,1,1,1,0,NEGATIVE
78,An old building seem like its used to an office building very small room the ugly shower area super over priced With lots of hidden fees like just for extra 2 hours late checkout they charge $5000 easily they can double your rate the slow elevator we change our hotel to residences inn in Manhattan compared to the New Yorker it was not 5 star but also 6 star ⭐️ stay away from the New Yorker ,2019-08-11,,An old building seem like its used to an office building very small room the ugly shower area super over priced With lots of hidden fees like just for extra 2 hours late checkout they charge $5000 easily they can double your rate the slow elevator we change our hotel to residences inn in Manhattan compared to the New Yorker it was not 5 star but also 6 star ⭐️ stay away from the New Yorker ,None,None,1,1,1,1,1,0,0,NEGATIVE
79,Super convenient location Right next to Penn Station,2019-08-11,"High Springs, FL",Super convenient location Right next to Penn Station,"High Springs, Alachua County, Florida, United States",United States,0,1,0,0,0,0,0,NEGATIVE
80,Reasonable price hotel Tiny room is OK considering its location a few minutes to Penn station and walk distance to Broadway theaters Fitness facilities were better than expected Hotel staff were not friendly lobby staff especially,2019-08-11,Tokyo,Reasonable price hotel Tiny room is OK considering its location a few minutes to Penn station and walk distance to Broadway theaters Fitness facilities were better than expected Hotel staff were not friendly lobby staff especially,"東京都, 日本",United States,1,1,0,0,0,1,1,POSITIVE
81,Art Deco beauty perfect location helpful and friendly staff,2019-08-11,,Art Deco beauty perfect location helpful and friendly staff,None,None,0,1,0,0,0,0,1,POSITIVE
82,The location is excellent The hotel staff is friendly and helpful Although the hotel is older it is well kept The only thing is the water changes temperature when showering and elevators take a while to come down It is understandable though being that it is a busy hotel,2019-08-11,,The location is excellent The hotel staff is friendly and helpful Although the hotel is older it is well kept The only thing is the water changes temperature when showering and elevators take a while to come down It is understandable though being that it is a busy hotel,None,None,0,1,0,0,1,0,1,POSITIVE
83,nos encanto tanto el trato recibido en la recepcion como la ayuda del SR SEBASTIANsuper amable y eficiente Muchisimas gracias,2019-08-11,,"We loved both the treatment received at the reception and the help of MR SEBASTIAN, super friendly and efficient Thank you very much",None,None,0,0,0,0,0,0,1,POSITIVE
84,The entire staff was so friendly and helpful and the location was perfect,2019-08-11,Mooresville NC,The entire staff was so friendly and helpful and the location was perfect,"Mooresville, Iredell County, North Carolina, United States",United States,0,1,0,0,0,0,1,POSITIVE
85,Didn’t like being charged for parking and resort fee,2019-08-11,Apollo Beach,Didn’t like being charged for parking and resort fee,"Apollo Beach, Hillsborough County, Florida, 33572, United States",United States,0,1,1,1,0,0,0,NEGATIVE
86,Camera non disponibile e sporca Lunghissime code alla reception,2019-08-11,,Room unavailable and dirty Long queues at the reception,None,None,0,0,0,0,0,0,0,POSITIVE
87,Overall good deal and not a bad areano pool thoughwork out room was too warm and no towels in there And the breakfast was mediocre Not enough options,2019-08-11,,Overall good deal and not a bad areano pool thoughwork out room was too warm and no towels in there And the breakfast was mediocre Not enough options,None,None,1,1,0,0,1,1,0,NEGATIVE
